_id,province_id,province,amphoe_id,area_id,amphoe,romanized_amphoe,amphoe_short,romanized_amphoe_short
57,12,นนทบุรี,1201,12010000,อำเภอเมืองนนทบุรี,Amphoe Mueang Nonthaburi,เมืองนนทบุรี,Mueang Nonthaburi
58,12,นนทบุรี,1202,12020000,อำเภอบางกรวย,Amphoe Bang Kruai,บางกรวย,Bang Kruai
59,12,นนทบุรี,1203,12030000,อำเภอบางใหญ่,Amphoe Bang Yai,บางใหญ่,Bang Yai
60,12,นนทบุรี,1204,12040000,อำเภอบางบัวทอง,Amphoe Bang Bua Thong,บางบัวทอง,Bang Bua Thong
61,12,นนทบุรี,1205,12050000,อำเภอไทรน้อย,Amphoe Sai Noi,ไทรน้อย,Sai Noi
62,12,นนทบุรี,1206,12060000,อำเภอปากเกร็ด,Amphoe Pak Kret,ปากเกร็ด,Pak Kret
63,13,ปทุมธานี,1301,13010000,อำเภอเมืองปทุมธานี,Amphoe Mueang Pathum Thani,เมืองปทุมธานี,Mueang Pathum Thani
64,13,ปทุมธานี,1302,13020000,อำเภอคลองหลวง,Amphoe Khlong Luang,คลองหลวง,Khlong Luang
65,13,ปทุมธานี,1303,13030000,อำเภอธัญบุรี,Amphoe Thanyaburi,ธัญบุรี,Thanyaburi
66,13,ปทุมธานี,1304,13040000,อำเภอหนองเสือ,Amphoe Nong Suea,หนองเสือ,Nong Suea
67,13,ปทุมธานี,1305,13050000,อำเภอลาดหลุมแก้ว,Amphoe Lat Lum Kaeo,ลาดหลุมแก้ว,Lat Lum Kaeo
68,13,ปทุมธานี,1306,13060000,อำเภอลำลูกกา,Amphoe Lam Luk Ka,ลำลูกกา,Lam Luk Ka
69,13,ปทุมธานี,1307,13070000,อำเภอสามโคก,Amphoe Sam Khok,สามโคก,Sam Khok
70,14,พระนครศรีอยุธยา,1401,14010000,อำเภอพระนครศรีอยุธยา,Amphoe Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
71,14,พระนครศรีอยุธยา,1402,14020000,อำเภอท่าเรือ,Amphoe Tha Ruea,ท่าเรือ,Tha Ruea
72,14,พระนครศรีอยุธยา,1403,14030000,อำเภอนครหลวง,Amphoe Nakhon Luang,นครหลวง,Nakhon Luang
73,14,พระนครศรีอยุธยา,1404,14040000,อำเภอบางไทร,Amphoe Bang Sai,บางไทร,Bang Sai
